,Learning rate,Nb. Units,Nb. Layers,Dropout,MAE
0,0.1,20,1,0.0,0.6859746636140103
1,0.1,20,1,0.1,0.6859746636140103
2,0.1,20,1,0.2,0.6859746636140103
3,0.1,20,1,0.3,0.6958178700196499
4,0.1,20,2,0.0,0.7122952334342257
5,0.1,20,2,0.1,0.6860122860657926
6,0.1,20,2,0.2,0.689538926004147
7,0.1,20,2,0.3,0.686774557946896
8,0.1,20,3,0.0,0.6718313383885366
9,0.1,20,3,0.1,0.6984232128846402
10,0.1,20,3,0.2,0.6363356522200546
11,0.1,20,3,0.3,0.6885955990540737
12,0.1,20,4,0.0,0.7296127132682896
13,0.1,20,4,0.1,0.6896818341004605
14,0.1,20,4,0.2,0.6991150559174771
15,0.1,20,4,0.3,0.6959807099091763
16,0.1,20,5,0.0,0.514768853026075
17,0.1,20,5,0.1,0.6936288536774868
18,0.1,20,5,0.2,0.6984176815736051
19,0.1,20,5,0.3,0.6962929905640836
20,0.1,40,1,0.0,0.6863959969269986
21,0.1,40,1,0.1,0.6859746636140103
22,0.1,40,1,0.2,0.6859746636140103
23,0.1,40,1,0.3,0.6859243913536168
24,0.1,40,2,0.0,0.5803671479653886
25,0.1,40,2,0.1,0.6929893673646207
26,0.1,40,2,0.2,0.6958203972565884
27,0.1,40,2,0.3,0.687284344552731
28,0.1,40,3,0.0,0.6938344181763882
29,0.1,40,3,0.1,0.6869772614228482
30,0.1,40,3,0.2,0.6452177947066268
31,0.1,40,3,0.3,0.6873716057526822
32,0.1,40,4,0.0,0.7004272164094204
33,0.1,40,4,0.1,0.6086268797242398
34,0.1,40,4,0.2,0.6957197369324918
35,0.1,40,4,0.3,0.6917403401124234
36,0.1,40,5,0.0,0.7099792830162145
37,0.1,40,5,0.1,0.6868849934327359
38,0.1,40,5,0.2,0.7130349816071744
39,0.1,40,5,0.3,0.6908586682069058
40,0.1,60,1,0.0,0.6842388537428816
41,0.1,60,1,0.1,0.6859746636140103
42,0.1,60,1,0.2,0.6917224587189907
43,0.1,60,1,0.3,0.6868916691529507
44,0.1,60,2,0.0,0.7000550450074429
45,0.1,60,2,0.1,0.6963325203644986
46,0.1,60,2,0.2,0.6871647061097378
47,0.1,60,2,0.3,0.6896176041352505
48,0.1,60,3,0.0,0.697277659295773
49,0.1,60,3,0.1,0.6875381172883267
50,0.1,60,3,0.2,0.6863923252808805
51,0.1,60,3,0.3,0.6934301556336636
52,0.1,60,4,0.0,0.6940355957734341
53,0.1,60,4,0.1,0.70097505462048
54,0.1,60,4,0.2,0.6971336067902798
55,0.1,60,4,0.3,0.6966984451997037
56,0.1,60,5,0.0,0.7070717037904019
57,0.1,60,5,0.1,0.6946374051388429
58,0.1,60,5,0.2,0.7011962116944547
59,0.1,60,5,0.3,0.6864607990967984
60,0.1,80,1,0.0,0.6859746636140103
61,0.1,80,1,0.1,0.6859746636140103
62,0.1,80,1,0.2,0.6859092892396207
63,0.1,80,1,0.3,0.6879447640168423
64,0.1,80,2,0.0,0.6862256706940885
65,0.1,80,2,0.1,0.686389511941647
66,0.1,80,2,0.2,0.7030049980866665
67,0.1,80,2,0.3,0.691022890924191
68,0.1,80,3,0.0,0.6859746636140103
69,0.1,80,3,0.1,0.6866689862000699
70,0.1,80,3,0.2,0.6874448002564664
71,0.1,80,3,0.3,0.6872078121888394
72,0.1,80,4,0.0,0.7138111294495816
73,0.1,80,4,0.1,0.7001718224274869
74,0.1,80,4,0.2,0.694434470056271
75,0.1,80,4,0.3,0.6847456158387417
76,0.1,80,5,0.0,0.6907971562134976
77,0.1,80,5,0.1,0.7086549938904996
78,0.1,80,5,0.2,0.7029152096497769
79,0.1,80,5,0.3,0.6902846993195767
80,0.1,100,1,0.0,0.6441923607793634
81,0.1,100,1,0.1,0.6867004097687954
82,0.1,100,1,0.2,0.6859746636140103
83,0.1,100,1,0.3,0.6860762776124234
84,0.1,100,2,0.0,0.6909792126404996
85,0.1,100,2,0.1,0.6900087059724087
86,0.1,100,2,0.2,0.692131585000729
87,0.1,100,2,0.3,0.6994422138917202
88,0.1,100,3,0.0,0.7299328208645507
89,0.1,100,3,0.1,0.6952290238129849
90,0.1,100,3,0.2,0.6873632611024136
91,0.1,100,3,0.3,0.6938112915742154
92,0.1,100,4,0.0,0.7097361744630093
93,0.1,100,4,0.1,0.6940138519990201
94,0.1,100,4,0.2,0.6884887398469205
95,0.1,100,4,0.3,0.684312981485104
96,0.1,100,5,0.0,0.696876162408566
97,0.1,100,5,0.1,0.6946784199464078
98,0.1,100,5,0.2,0.6923572720277066
99,0.1,100,5,0.3,0.6855302036988492
100,0.1,120,1,0.0,0.6859746636140103
101,0.1,120,1,0.1,0.6859746636140103
102,0.1,120,1,0.2,0.6847470463502163
103,0.1,120,1,0.3,0.6882147015321011
104,0.1,120,2,0.0,0.6923706234681363
105,0.1,120,2,0.1,0.6870205718607318
106,0.1,120,2,0.2,0.6966264904725308
107,0.1,120,2,0.3,0.6887443245637174
108,0.1,120,3,0.0,0.7067225159394498
109,0.1,120,3,0.1,0.6888539017426724
110,0.1,120,3,0.2,0.6854417980897183
111,0.1,120,3,0.3,0.6864065350281948
112,0.1,120,4,0.0,0.7025260628449673
113,0.1,120,4,0.1,0.6897219837891811
114,0.1,120,4,0.2,0.6979725064027066
115,0.1,120,4,0.3,0.6897438229310269
116,0.1,120,5,0.0,0.702705019830441
117,0.1,120,5,0.1,0.6900357766990759
118,0.1,120,5,0.2,0.6883799732911343
119,0.1,120,5,0.3,0.6891534985291714
120,0.01,20,1,0.0,0.4473231550890633
121,0.01,20,1,0.1,0.7101624191987271
