Parameter0,Parameter1,pH_Drain,EC_Drain,water
-18.011632919311523,7.102954387664795,-7.222891482800702,-1.6203955103846837,0.661424999759104
-18.507617950439453,5.091818809509277,-7.222810976583468,-1.6203957724057614,0.406124999974351
-9.255485534667969,14.813282012939453,-7.222255914993891,-1.6203957724045055,0.587715789183053
-19.182668685913086,2.5598719120025635,-7.222255914981485,-1.6203957724057614,1.28021666649679
-17.541587829589844,6.471608638763428,-7.222523166870915,-1.6204332412390048,0.583288235330209
-17.567903518676758,3.9544663429260254,-7.222297030663568,-1.6204332412390048,0.503662499935879
-10.024147987365723,10.67379379272461,-7.222399819843964,-1.6203957724019928,1.15483999991886
-13.658684730529785,9.263264656066895,-7.22260539821027,-1.6203957724032492,1.01215714307196
-17.960660934448242,3.869285821914673,-7.222646513895111,-1.6204332412390048,1.54545112785963
-15.100786209106445,8.716265678405762,-3.2356185085632263,-0.07480634897486262,1.3776
-4.752232074737549,12.990409851074219,0.08517111816629724,1.0974436068791593,3.3292
-15.358160972595215,8.840774536132812,0.25356036023262535,0.9136402392229543,3.0996
-6.954836845397949,11.826997756958008,0.3260678510452053,0.7549035218663936,3.6162
-3.10025691986084,-15.318233489990234,0.3702672004695478,0.6021805524344533,5.8548
1.9776960611343384,-17.087116241455078,0.08882862558914488,0.6845060981664883,3.9606
-15.97535514831543,6.6035051345825195,0.11541899088759121,0.7093445790622777,2.41504999748543
-11.059062004089355,11.261112213134766,0.35666065342056397,0.6055352620991764,2.19334999748543
-13.193465232849121,8.538637161254883,0.4981608196592842,0.6726207525824545,7.0602
-13.248637199401855,7.03494930267334,0.2393754527810532,1.044940402418635,7.2324
-16.06107521057129,4.229561805725098,0.006516834321356635,1.4518238435585955,7.5768
-5.800302505493164,13.870895385742188,-0.16719688760158258,1.6710539941725318,7.9212
-14.296724319458008,7.782617568969727,-0.6116573215610543,1.7646136739837712,5.8548
-7.040470600128174,13.460712432861328,-0.9600715413481891,1.7571011725811974,5.166
-15.825677871704102,3.7835159301757812,-1.1995703414401626,1.7821865573288616,3.9606
