Parameter0,Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,pH_Drain,EC_Drain,water
-3.6576943557748205,0.8432581874046986,-0.9831814320022754,-0.19079992031661752,0.05251405355959992,-0.051222891816002654,8.983859874958785e-16,3.432918727158023e-17,-1.3198456901494221e-17,-7.222891482800702,-1.6203955103846837,0.661424999759104
-3.6580106277878133,0.8475309342837611,-0.9776784414853585,-0.18894135743909032,0.05814888982200885,0.011055153184147699,8.943601808156076e-16,8.297673107078689e-16,2.530460720610059e-18,-7.222810976583468,-1.6203957724057614,0.406124999974351
-3.7062126619679105,0.964778656721546,-0.9682624692272245,-0.1653161204911183,0.06512994903460663,0.01411776009384992,8.94717093778159e-16,-7.470498438881948e-16,2.3315639175539702e-17,-7.222255914993891,-1.6203957724045055,0.587715789183053
-3.8314538090688295,1.3827394415964618,-0.7447975904722753,-0.19878187625079222,0.0706180668898254,-0.009692312092937222,8.887544536812893e-16,-3.4686373664949666e-16,3.512056725133592e-17,-7.222255914981485,-1.6203957724057614,1.28021666649679
-3.851785263566115,1.4132968042824134,-0.7875512263575211,-0.12302960668957187,0.05071559790748906,0.013256981570407505,8.837635057345604e-16,-1.400493460765438e-16,-3.6120337909355576e-18,-7.222523166870915,-1.6204332412390048,0.583288235330209
-3.986380514585803,1.8881084510367305,-0.52718577565496,-0.12474919744404911,0.042991763550996466,0.030355537319841527,8.950900162191543e-16,-1.6225811955235096e-16,2.879965332026282e-17,-7.222297030663568,-1.6204332412390048,0.503662499935879
-3.9954605631903943,1.9128644995560289,-0.5447639438766153,-0.08656436381877476,0.04109107351120087,-0.023000276725817108,8.753137493057817e-16,-3.0255188014787514e-16,4.1818582758778394e-18,-7.222399819843964,-1.6203957724019928,1.15483999991886
-4.014735185375496,1.9433909119213357,-0.5780261060171459,-0.10380806227391172,0.04918189612137959,0.06004540341933731,9.145853535756177e-16,1.0039366404656604e-15,-6.927118880597149e-17,-7.22260539821027,-1.6203957724032492,1.01215714307196
-4.012090036297425,1.956939222396626,-0.5713722951592066,-0.07544865521776882,0.047702937092665126,-0.03583037004267817,8.920438681193904e-16,-2.1629482773735339e-16,-4.5052570503355854e-17,-7.222646513895111,-1.6204332412390048,1.54545112785963
-4.002907430463985,1.8950125765380303,-0.6505277209745777,-0.0412476844741115,0.03138507930414344,0.04209469080703102,8.872373752246247e-16,1.29623974422558e-16,-4.7394213146095906e-18,-3.2356185085632263,-0.07480634897486262,1.3776
-3.936229681737954,1.5728287807578518,-0.9096225840276381,-0.07568335922363506,0.05613393519487394,-0.048161917797998145,8.648144391433136e-16,5.406547837179865e-16,3.1001201649865425e-17,0.08517111816629724,1.0974436068791593,3.3292
-4.056200501600586,2.038960454788977,-0.6539481617388794,-0.05110574810434145,0.04416035481049938,-0.08150232889283723,9.12588188795675e-16,1.7794763224874387e-15,-2.081602436722796e-17,0.25356036023262535,0.9136402392229543,3.0996
-4.072803380611173,2.066170888517118,-0.6859487229243859,-0.06475144789806853,0.05913784195129919,0.052096113549484915,8.860639372933202e-16,-5.047427579352097e-17,1.6997357041091567e-17,0.3260678510452053,0.7549035218663936,3.6162
-4.077476289891899,2.0860952077242882,-0.6971683324415435,-0.030467643022894234,0.05370844932459931,0.0068463502363684675,8.997938725577258e-16,5.659603966665582e-16,-5.751325002754307e-17,0.3702672004695478,0.6021805524344533,5.8548
-4.085092095611291,2.1075496277522454,-0.7062482068555385,-0.06224000046773995,0.05903323823253438,-0.059927000222871646,9.033991600002079e-16,7.137836001137494e-18,1.1220273061374107e-17,0.08882862558914488,0.6845060981664883,3.9606
-4.088241763155989,2.1260087503005947,-0.7116318333071683,-0.06017614412623894,0.0655506920262777,-0.11670898622717243,8.539320304839842e-16,4.919401067231122e-16,4.667648734237854e-17,0.11541899088759121,0.7093445790622777,2.41504999748543
-4.192052618002206,2.5579063974296616,-0.4865894738348329,-0.0023276026591386315,0.039241984397380164,0.1473368612212006,9.121031641950946e-16,1.0474093878286942e-15,7.389315398934419e-18,0.35666065342056397,0.6055352620991764,2.19334999748543
-4.203346847860338,2.589533919540392,-0.5089289621842029,0.00036120780574045775,0.03469238473743233,0.02477549287515444,9.632285805439264e-16,1.871276424762709e-15,-1.1950139129074903e-18,0.4981608196592842,0.6726207525824545,7.0602
-4.208791468057682,2.6166037412558825,-0.5216207754083744,0.005093183170971645,0.04480970410215953,-0.09049587221457676,8.96755555139145e-16,5.897629191007093e-16,-4.007291807367703e-18,0.2393754527810532,1.044940402418635,7.2324
-4.229558203782776,2.72197869210532,-0.47705150517772643,0.012594473804380371,0.04205493722406979,0.006341404379624899,8.875459164167772e-16,-9.305421888346125e-18,-9.46276500090005e-18,0.006516834321356635,1.4518238435585955,7.5768
-4.297618998377261,3.0500709757300295,-0.3028136768509448,0.02414734498528031,0.03330680219838365,-0.004568668971285987,8.805840506995285e-16,-9.271095688996564e-16,5.564810551461972e-17,-0.16719688760158258,1.6710539941725318,7.9212
-4.269982040443523,2.948597714887058,-0.38375881534020345,0.05414178933271642,0.03494061080888187,-0.06576678014999125,8.483900770044062e-16,-1.4906782054042942e-16,1.0373282033751201e-17,-0.6116573215610543,1.7646136739837712,5.8548
-4.281741854586231,2.9804074791449695,-0.409496554793083,0.030837648284851416,0.040530320492687115,-0.04240655127744504,8.934935020018537e-16,-3.509293572580099e-17,1.5367401198382412e-17,-0.9600715413481891,1.7571011725811974,5.166
-4.2465142264901905,2.8438013594025167,-0.5028553890283218,0.05699879950084592,0.036551570596632506,-0.04814273434794864,8.846169397452882e-16,-1.6101228763900378e-16,1.941360701965891e-18,-1.1995703414401626,1.7821865573288616,3.9606
-4.2581431664169775,2.8749380161815266,-0.5307908505248252,0.03916640384658988,0.055296454253463904,-0.028669427291540508,8.999147085042659e-16,4.273425544778001e-16,5.337758335464194e-18,-1.173461888598153,1.6737330158731696,5.2234
-4.2437019188292275,2.881249841635548,-0.508647127844021,0.05965470741837757,0.04019929560529858,-0.004679266087003601,8.867195464816639e-16,7.990122188588772e-16,-5.314532316214613e-18,-1.248189625668418,1.8062040802637793,3.9606
