Parameter0,Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,pH_Drain,EC_Drain,water
-2.578925308751191,-2.0128976430992416,1.7420085300292667,-0.8062187811277411,-0.7288702232760101,-1.947720822253136,-0.09181460541103377,0.4659317449572536,0.00010604603270077187,-7.222891482800702,-1.6203955103846837,0.661424999759104
-2.5275053625337542,-1.997944125260716,1.718097454867917,-0.8169343022784515,-0.6119827050095522,-2.0635582330151974,-0.08712534555103199,0.49137735513456776,-0.00015031960047165782,-7.222810976583468,-1.6203957724057614,0.406124999974351
-2.606276809689695,-2.081058150648078,1.7031492027743163,-0.7707801190950597,-0.46885037631146004,-2.147799192580459,-0.055005798209933746,0.6147951618695032,0.0004898186548058693,-7.222255914993891,-1.6203957724045055,0.587715789183053
-2.8777878853307453,-2.3409662305137076,1.6346710249918583,-0.5926508083949636,-0.7449361340667615,-1.6666213929210876,-0.39631898701397894,-0.9948571057212957,0.0022571671546532677,-7.222255914981485,-1.6203957724057614,1.28021666649679
-2.896894133515718,-2.383591443628693,1.5844516890311537,-0.572238723792071,-0.1749484176709434,-1.9032583482902303,0.22011906845982593,0.8738583911425003,0.0045763016860863185,-7.222523166870915,-1.6204332412390048,0.583288235330209
-3.551551814306827,-2.806371219188564,1.5216899240564816,-0.20573346188691408,0.2745125186865785,-1.1960500140767774,0.5182905732533285,0.6298244887648897,0.005396735360435692,-7.222297030663568,-1.6204332412390048,0.503662499935879
-3.538949976402077,-2.822773838725724,1.4893792136323074,-0.2016710370709691,0.25347914034782243,0.5867602860181492,-1.1402154390834283,0.6474229038875557,0.00557173714461346,-7.222399819843964,-1.6203957724019928,1.15483999991886
-3.53418978105738,-2.8382821943462937,1.480425118321501,-0.19538709785965502,0.24257907139151966,0.383135286922449,-1.2224936331176908,0.6741237992239194,0.005847087293298557,-7.22260539821027,-1.6203957724032492,1.01215714307196
-3.510151962702406,-2.839113892660948,-1.4870543316283118,-0.20084184028679442,0.22191295396439345,0.337060554858621,-1.2746836199448466,0.7330880670445618,0.006428144701910099,-7.222646513895111,-1.6204332412390048,1.54545112785963
-3.425679470839285,-2.8089273151053384,-1.4817650005129497,-0.2391254956200865,0.16908660564940095,-0.2932737944985339,-1.371622275252814,0.8343939509447164,0.007284797288446855,-3.2356185085632263,-0.07480634897486262,1.3776
-10.187754154487399,-2.9461143690676024,-0.39980760412206917,0.16408737992999106,1.9305061751015027,-0.015559830749028461,-0.005312009983922939,-5.2045117308454326e-05,0.008893139746500892,0.08517111816629724,1.0974436068791593,3.3292
-9.707563911402064,-2.8426939074741906,-0.36657100298896483,0.11620586732564533,1.6091404765235073,-0.06860568157219728,0.0016021646178606221,-3.800489098288795e-06,0.000573898831841791,0.25356036023262535,0.9136402392229543,3.0996
-9.733222249579292,-2.89247953293689,-0.37649239223074993,0.11722793411077609,1.633805710960533,-0.07263389505617121,0.0016543349954617984,-3.4538313492254895e-06,0.0005045463294664064,0.3260678510452053,0.7549035218663936,3.6162
-9.753156803181863,-2.9409874013228325,-0.38558364257117506,0.11749957341462686,1.6491232590704616,-0.07687290999814089,0.0017292685961190586,-2.7429886848063443e-06,0.0003566614555299143,0.3702672004695478,0.6021805524344533,5.8548
-9.77471995555828,-2.990068723330797,-0.39439595741718936,0.11783262076584554,1.6618293739325496,-0.08063221843838785,0.0017310952298692202,-2.529840026004933e-06,0.00030868004521430613,0.08882862558914488,0.6845060981664883,3.9606
-9.796667861875683,-3.040153235482661,-0.4033553972705937,0.11826823547464246,1.678097613698615,-0.0851197542855546,0.0017390110154809329,-2.3178318511380766e-06,0.0002761677537390391,0.11541899088759121,0.7093445790622777,2.41504999748543
-9.417522398202427,-2.96399907056239,-0.38232911937648045,0.08102600855931018,1.4368280281918389,-0.13137908993754527,0.00690441308848338,3.4732776363014226e-05,-0.005727725522345205,0.35666065342056397,0.6055352620991764,2.19334999748543
-9.378667760007113,-2.993977702788921,-0.38732038701231347,0.07592925646164701,1.4149967672684982,-0.14442405891120216,0.007805446478315124,4.146634291532384e-05,-0.00679505059590322,0.4981608196592842,0.6726207525824545,7.0602
-9.393896528786625,-3.041447674687456,-0.3960792899696743,0.07581779997409015,1.4225008840646647,-0.1518895682791547,0.008001872487045553,4.330554758472022e-05,-0.007072090320692148,0.2393754527810532,1.044940402418635,7.2324
-9.347787856193703,-3.0706960611115988,-0.4011128303597561,0.07018141892505679,1.4030371728064772,-0.16784198084291746,0.009004273969727571,5.116198636548018e-05,-0.008323195570128068,0.006516834321356635,1.4518238435585955,7.5768
-8.989515719102394,-2.9902704234924715,-0.37820927960977385,0.03342567014697166,1.082207813409497,-0.19858636434097077,0.01314959075860423,8.578615503149156e-05,-0.014341487715692705,-0.16719688760158258,1.6710539941725318,7.9212
-9.139802942527153,-3.0853950978700784,-0.39919226102273603,0.0466098728608288,1.211661942820274,-0.19972951683197335,0.011996258174294937,7.707196026120431e-05,-0.01274240099205632,-0.6116573215610543,1.7646136739837712,5.8548
-9.176691780594394,-3.147255528245111,-0.41025470771653394,0.04378529687119916,1.0941392354834971,0.00675152571893049,-0.37726726373153263,6.045249871848174e-05,-0.012932678028826422,-0.9600715413481891,1.7571011725811974,5.166
-9.444781172288081,-3.2894752032070613,-0.4420537660547008,0.06801493154182209,1.3163822324275292,0.00623606047477147,-0.4244295566521153,3.588619703907525e-05,-0.00867724415355635,-1.1995703414401626,1.7821865573288616,3.9606
-9.48574488247622,-3.3525285871038166,-0.45367741362180247,0.07053667663084127,1.337661183395214,0.008037877331289764,-0.4448939690752166,3.511342295794356e-05,-0.008548887732282042,-1.173461888598153,1.6737330158731696,5.2234
-9.476337534781123,-3.39959338908319,-0.4620488029764745,0.06855850360906983,1.3329126818968506,0.009947935753693625,-0.4700573775995859,3.9496826297821584e-05,-0.009379587464422327,-1.248189625668418,1.8062040802637793,3.9606
-9.010608574927744,-3.312381734278235,-0.434530231929435,0.0227331194744375,-1.1378864695849786,0.007506594323268919,0.00011342212253191158,-0.01826805796098694,-0.09062673398224712,-0.7218473273194679,1.8069534569330405,4.4772
-8.981673328114953,-3.348648289554731,-0.43945544090331856,0.018863165161477277,-1.1426616648110262,0.008024164989331175,0.00011156062074471558,-0.017577314104995457,-0.08688646118437705,-0.37417318950241735,1.7763976223980642,4.8216
-8.960907112873858,-3.392809943603697,-0.4484941637007792,0.015864279033080835,1.095792776290099,0.009509550216255876,0.00012821697895789032,-0.02083250896699137,-0.10400192151999046,-0.1719046322862133,1.7078858585351757,4.8216
-8.923850808880843,-3.438263313002575,-0.45816450749392756,0.011249924251282791,-0.931335418220223,0.011009618441063572,0.00016345628587764564,-0.03190874428269646,-0.1369056928417541,0.04360317206307984,1.6953150645800625,3.9606
-8.929042122506157,-3.4920083629620073,-0.46739329620411363,0.010608755703575895,-0.9543100240736931,0.011202010253358909,0.0001628336032947129,-0.031202439535121845,-0.13421347739529596,-0.02952105308887062,1.5904772659776718,4.4772
-10.85969319662119,-4.255221759081927,-0.6649093197776172,0.17966446498066443,-1.8408366123259579,0.0066972631774501025,-0.7068546370010121,-0.0006511557522837923,0.0077171822953947975,-0.19272972106951874,1.7735312565167611,4.6494
-10.873629395143265,-4.336378572999563,-0.6785898968490037,0.18112234842559968,1.8803115101019514,0.0074988367292812596,-0.784938114292666,-0.0009757261088366762,0.00997474193577324,-0.23318754417000426,1.8290413347819416,5.5104
-10.882821687955964,-4.4167146369779235,-0.6918469776491707,0.18218073458790818,1.910531658215287,0.008552953638211251,-0.8704582730079476,-0.0017695940028322635,0.012498393220465526,-0.508539211774199,1.9288395755348298,4.305
